source_sheet,source_row,retailer,product_id,product,forecast_total_cases,promo_id,promotion_type,description,unmapped_reason
2025,2192,NA-COLABOR,TDL,TDL CAN,1778.0,000HQ5X1V,Ad Fee,TD Colabor Focus April 14- May 2 2025,Product ID not found in product list or no pack size
2025,2200,NA-COLABOR,TDL,TDL CAN,1230.0,000HQ5XLV,Ad Fee,TD Colabor Focus May 5 - 23 2025,Product ID not found in product list or no pack size
2025,2208,NA-COLABOR,TDL,TDL CAN,2864.0,000HQ5X0P,Ad Fee,TD Colabor Focus June 16,Product ID not found in product list or no pack size
2025,2215,NA-COLABOR,TDL,TDL CAN,4125.0,000HQ550X,Ad Fee,TD Colabor Sealift Bateau 2  June 9 -Aug 8 2025,Product ID not found in product list or no pack size
2025,2225,NA-COLABOR,TDL,TDL CAN,2964.0,000HQ5X4G,Ad Fee,TD Colabor Focus July 28,Product ID not found in product list or no pack size
2025,2239,NA-COLABOR,TDL,TDL CAN,1474.0,000HQ5WSS,Ad Fee,TD Colabor Focus August 25,Product ID not found in product list or no pack size
2025,2246,NA-COLABOR,TDL,TDL CAN,1661.0,000HQ5XPR,Ad Fee,TD Colabor Focus Sept 15 - Oct 3 2025,Product ID not found in product list or no pack size
2025,2253,NA-COLABOR,TDL,TDL CAN,2041.0,000HQ5WQ9,Ad Fee,TD Colabor Focus October 6 2025 Impact 1 Page,Product ID not found in product list or no pack size
2025,2261,NA-COLABOR,TDL,TDL CAN,2486.0,000HQ5X31,Ad Fee,TD Colabor Salon de Restauration -Pannier mixte 30 Sept 2025,Product ID not found in product list or no pack size
2025,2269,NA-COLABOR,TDL,TDL CAN,1533.0,000HQ5XNB,Ad Fee,TD Colabor Focus October 27 -Nov 21,Product ID not found in product list or no pack size
2025,2748,NA-GIANT TIGER,TDL,TDL CAN,153789.0,000HJE7G6,Special,TD - PLANO MTNCE FEES,Product ID not found in product list or no pack size
2025,2812,NA-GIANT TIGER,TDL,TDL CAN,3195.0,000HMGM83,Ad Fee,TD GT Roll up the Rim Digital Flyer,Product ID not found in product list or no pack size
2025,3008,NA-ISLAND IND BG,TDL,TDL CAN,839.0,000HJE60A,Special,TD IIBG Anniversary Flyer - Oct 18 - Nov 15,Product ID not found in product list or no pack size
2025,3100,NA-LOBLAWS,TDL,TDL CAN,4181.0,000IEOOGW,Write Off,"TD 2025 Unrecoverable Cancelled deals HB CAP/HC @0.95,KCOMP",Product ID not found in product list or no pack size
2025,3145,NA-LOBLAWS,TDL,TDL CAN,303142.0,000HRCL0I,Points,TD - LCL PC PLUS POINTS - Mass Q1,Product ID not found in product list or no pack size
2025,3147,NA-LOBLAWS,TDL,TDL CAN,460143.0,000IQQ3OL,Write Off,TD Unrecoverable 2025 Wrong Rate - Feb,Product ID not found in product list or no pack size
2025,3149,NA-LOBLAWS,TDL,TDL CAN,976638.0,000HRCL3F,Points,TD - LCL PC PLUS POINTS - Targeted,Product ID not found in product list or no pack size
2025,3299,NA-LOBLAWS,TDL,TDL CAN,25419.0,000I5D4UJ,Contract,TD LCL RCSS WK 11 PCO APP EXCLUSIVE OFFER,Product ID not found in product list or no pack size
2025,3371,NA-LOBLAWS,TDL,TDL CAN,233932.0,000HRCHPN,Points,TD - LCL PC PLUS POINTS - Mass Q2,Product ID not found in product list or no pack size
