retailer,year,month,mpg,product,product_id,source_product,unit_type,quantity,cases_per_drp,cases,source_sheet,source_row,promo_id,promotion_type,date_source,product_pack_size,base_pack_size,conversion_note
CG-SDM,2025,January,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,507.0,,507.0,2025,24,000HN144R,TPR/ISF,2025-01-01,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2025,January,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,1222.0,,1222.0,2025,27,000HRCBFI,TPR/ISF,2025-01-01,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2025,May,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,1995.0,,1995.0,2025,55,000HRCG0T,TPR/ISF,2025-05-26,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2025,June,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,539.0,,539.0,2025,63,000HRCMOX,TPR/ISF,2025-06-09,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2025,June,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,626.0,,626.0,2025,77,000HRCE5P,TPR/ISF,2025-06-23,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2025,July,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,89.0,,89.0,2025,88,000HRCIXA,TPR/ISF,2025-07-07,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2025,July,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,87.0,,87.0,2025,109,000HRCE3A,TPR/ISF,2025-07-21,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2025,August,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,570.0,,570.0,2025,122,000HRCHSO,TPR/ISF,2025-08-04,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2025,August,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,1433.0,,1433.0,2025,140,000HRCP1P,TPR/ISF,2025-08-18,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2025,September,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,634.0,,634.0,2025,153,000HRCMPB,TPR/ISF,2025-09-01,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2025,September,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,634.0,,634.0,2025,154,000HRCMPB,Display,2025-09-01,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2025,September,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,724.0,,724.0,2025,163,000HRCBP2,TPR/ISF,2025-09-15,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2025,September,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,614.0,,614.0,2025,175,000HRCBRB,TPR/ISF,2025-09-29,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2025,October,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,638.0,,638.0,2025,189,000HRCHON,TPR/ISF,2025-10-13,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2025,October,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,688.0,,688.0,2025,201,000HRCHTA,TPR/ISF,2025-10-27,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2025,November,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,691.0,,691.0,2025,221,000IK4C7T,TPR/ISF,2025-11-10,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2025,November,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,700.0,,700.0,2025,237,000ILIQER,TPR/ISF,2025-11-24,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2025,December,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,711.0,,711.0,2025,247,000IMYWHY,TPR/ISF,2025-12-08,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2025,December,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,691.0,,691.0,2025,263,000IOM0C9,TPR/ISF,2025-12-22,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2026,January,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,947.0,,947.0,2026,23,000IORV74,TPR/ISF,2026-01-03,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2026,January,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,1117.0,,1117.0,2026,39,000IORV8D,TPR/ISF,2026-01-17,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2026,January,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,582.0,,582.0,2026,56,000IOR6ZE,TPR/ISF,2026-01-31,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2026,February,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,681.0,,681.0,2026,70,000IOR6ZX,TPR/ISF,2026-02-14,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2026,February,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,634.0,,634.0,2026,84,000IOR6Z2,TPR/ISF,2026-02-28,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2026,March,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,635.0,,635.0,2026,100,000IYNURM,TPR/ISF,2026-03-14,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2026,March,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,621.0,,621.0,2026,110,000J0SSCL,TPR/ISF,2026-03-28,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2026,April,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,617.0,,617.0,2026,120,000J1NDFC,TPR/ISF,2026-04-11,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2026,April,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,555.0,,555.0,2026,132,000J3TP0P,TPR/ISF,2026-04-25,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2026,May,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,510.0,,510.0,2026,139,000J5HIQ9,TPR/ISF,2026-05-09,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2026,May,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,1895.0,,1895.0,2026,153,000IOS367,TPR/ISF,2026-05-23,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2026,June,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,425.0,,425.0,2026,165,000IOS36J,TPR/ISF,2026-06-06,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2026,June,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,520.0,,520.0,2026,177,000IOS4US,TPR/ISF,2026-06-20,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2026,July,Hot Bowls 12/425g,HOT BOWLS 12/425GR,TDSHHB-12/425,HOT BOWLS 12/425GR,CASE,520.0,,520.0,2026,192,000IOWLCF,TPR/ISF,2026-07-21,Hot Bowls 12/425g,Hot Bowls 12/425g,Product-level forecast total cases
CG-SDM,2025,January,Instant Coffee 12/100g,INSTANT COFFEE 36/100GR,TDIC-36/100,INSTANT COFFEE 36/100GR,DRP,660.0,3.0,1980.0,2025,29,000HRCL0N,Special,2025-01-23,Instant Coffee 36/100g,Instant Coffee 12/100g,Display pack 36/100G converted to regular case pack 12/100G
CG-SDM,2025,May,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,76.0,,76.0,2025,50,000HRCHNW,TPR/ISF,2025-05-19,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2025,June,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,688.0,,688.0,2025,58,000HRCDD1,TPR/ISF,2025-06-02,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2025,June,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,877.0,,877.0,2025,68,000HRCF2F,TPR/ISF,2025-06-16,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2025,June,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,188.0,,188.0,2025,81,000HRCG2I,TPR/ISF,2025-06-30,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2025,July,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,758.0,,758.0,2025,96,000HRCF44,TPR/ISF,2025-07-14,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2025,July,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,814.0,,814.0,2025,113,000HRCKUG,TPR/ISF,2025-07-28,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2025,August,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,769.0,,769.0,2025,131,000HRCIFG,TPR/ISF,2025-08-11,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
