comparison_key,data_mode,banner,market,year,period,month,product_group,mpg,product_id,product,promo_id,promo_status,promotion_type,execution_start,execution_end,source_fcst_inc_cases,unit_type,cases_per_display,converted_fcst_inc_cases,mode_fcst_inc_cases,prorate_weight,execution_days_in_month,execution_days_total,month_cases,source_workbook,source_sheet,source_row,conversion_note
yoy,separate,SDM,CG-SDM,2025,2025,Jan,Soups and Hot Bowls,Soups 12/540ml,TDSHSP-12/540,SOUPS 12/540ML,000HRCBFI,Closed,TPR/ISF,2025-01-01,2025-01-05,695.0,CASE,,695.0,695.0,1.0,5,5,695.0,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,26,Reported as regular cases
yoy,blended,SDM,CG-SDM,2025,2025,Jan,Soups and Hot Bowls,Hot Bowls 12/425g,TDSHHB-12/425,HOT BOWLS 12/425GR,000HRCBFI,Closed,TPR/ISF,2025-01-01,2025-01-05,540.0,CASE,,540.0,540.0,1.0,5,5,540.0,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,27,Reported as regular cases
yoy,separate,SDM,CG-SDM,2025,2025,Jan,Soups and Hot Bowls,Hot Bowls 12/425g,TDSHHB-12/425,HOT BOWLS 12/425GR,000HRCBFI,Closed,TPR/ISF,2025-01-01,2025-01-05,540.0,CASE,,540.0,540.0,1.0,5,5,540.0,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,27,Reported as regular cases
yoy,blended,SDM,CG-SDM,2025,2025,Feb,Instant,Instant Coffee 12/100g,TDIC-36/100,INSTANT COFFEE 36/100GR,000HRCL0N,Closed,Special,2025-02-01,2025-02-28,660.0,DRP,3.0,1980.0,1980.0,1.0,28,28,1980.0,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,29,Display pack 36/100G converted to regular case pack 12/100G
yoy,separate,SDM,CG-SDM,2025,2025,Feb,Instant Displays,Instant Coffee 36/100g,TDIC-36/100,INSTANT COFFEE 36/100GR,000HRCL0N,Closed,Special,2025-02-01,2025-02-28,660.0,DRP,3.0,1980.0,660.0,1.0,28,28,660.0,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,29,Display pack 36/100G converted to regular case pack 12/100G
yoy,blended,SDM,CG-SDM,2025,2025,Feb,Single Serve,SS KComp 4/30ct,TDSSKC-4/30,SS KCOMP 4/30CT,000HYNPSL,Closed,TPR/ISF,2025-02-08,2025-02-14,231.0,CASE,,231.0,231.0,1.0,7,7,231.0,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,31,Reported as regular cases
yoy,separate,SDM,CG-SDM,2025,2025,Feb,Single Serve,SS KComp 4/30ct,TDSSKC-4/30,SS KCOMP 4/30CT,000HYNPSL,Closed,TPR/ISF,2025-02-08,2025-02-14,231.0,CASE,,231.0,231.0,1.0,7,7,231.0,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,31,Reported as regular cases
yoy,blended,SDM,CG-SDM,2025,2025,Feb,Roast & Ground,R&G Small Bag 6/300g,6320912437,TDL ORG/DR GROUND PDQ 24/300 GR,000HRCGR5,Closed,Special,2025-02-01,2025-02-28,500.0,DRP,4.0,2000.0,2000.0,1.0,28,28,2000.0,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,33,Display pack 24/300G converted to regular case pack 6/300G
yoy,separate,SDM,CG-SDM,2025,2025,Feb,Roast & Ground Displays,R&G Small Bag 24/300g,6320912437,TDL ORG/DR GROUND PDQ 24/300 GR,000HRCGR5,Closed,Special,2025-02-01,2025-02-28,500.0,DRP,4.0,2000.0,500.0,1.0,28,28,500.0,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,33,Display pack 24/300G converted to regular case pack 6/300G
yoy,blended,SDM,CG-SDM,2025,2025,May,Roast & Ground,R&G Large Can 6/930g,TDRGLC-6/930,R&G LARGE CAN 6/930GR,000HRCHS5,Closed,TPR/ISF,2025-05-17,2025-06-13,200.0,CASE,,200.0,200.0,0.53571429,15,28,107.142857,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,43,Reported as regular cases
