product_id,product,mpg,unit_type,product_pack_size,base_pack_size,cases_per_drp,conversion_note
TDIC-60/100,INSTANT COFFEE 60/100GR,Instant Coffee 12/100g,DRP,Instant Coffee 60/100g,Instant Coffee 12/100g,5.0,Display pack 60/100G converted to regular case pack 12/100G
TDIC-12/12,INSTANT COFFEE 12/12CT,Instant Coffee 12/12ct,CASE,Instant Coffee 12/12ct,Instant Coffee 12/12ct,,Product-level forecast total cases
TDIC-6/300,INSTANT COFFEE 6/300GR,Instant Coffee 6/300g,CASE,Instant Coffee 6/300g,Instant Coffee 6/300g,,Product-level forecast total cases
TDNC-1/60,NCOMP 1/60CT,NComp 1/60ct,CASE,NComp 1/60ct,NComp 1/60ct,,Product-level forecast total cases
6320918580,6320918580,NComp 10/10ct,CASE,NComp 10/10ct,NComp 10/10ct,,Product-level forecast total cases
6320918580,TDL NCOMP CLASSIC LUNGO 10/10 CT,NComp 10/10ct,CASE,NComp 10/10ct,NComp 10/10ct,,Product-level forecast total cases
6320918581,TDL NCOMP BRIGHT ESPRESSO 10/10 CT,NComp 10/10ct,CASE,NComp 10/10ct,NComp 10/10ct,,Product-level forecast total cases
6320918581,6320918581,NComp 10/10ct,CASE,NComp 10/10ct,NComp 10/10ct,,Product-level forecast total cases
6320918582,6320918582,NComp 10/10ct,CASE,NComp 10/10ct,NComp 10/10ct,,Product-level forecast total cases
6320918582,TDL NCOMP BOLD ESPRESSO 10/10 CT,NComp 10/10ct,CASE,NComp 10/10ct,NComp 10/10ct,,Product-level forecast total cases
6320918583,TDL NCOMP DECAF ESPRESSO 10/10 CT,NComp 10/10ct,CASE,NComp 10/10ct,NComp 10/10ct,,Product-level forecast total cases
6320918583,6320918583,NComp 10/10ct,CASE,NComp 10/10ct,NComp 10/10ct,,Product-level forecast total cases
6320919390,TDL NCOMP PDQ 24/10 CT,NComp 10/10ct,DRP,NComp 24/10ct,NComp 10/10ct,2.4,Display pack 24/10CT converted to regular case pack 10/10CT
6320919391,*TDL NCOMP DISPLAY 32/10 CT,NComp 10/10ct,DRP,NComp 32/10ct,NComp 10/10ct,3.2,Display pack 32/10CT converted to regular case pack 10/10CT
6320919832,TDL NCOMP DARK LUNGO 10/10 CT,NComp 10/10ct,CASE,NComp 10/10ct,NComp 10/10ct,,Product-level forecast total cases
6320919832,6320919832,NComp 10/10ct,CASE,NComp 10/10ct,NComp 10/10ct,,Product-level forecast total cases
6320919834,6320919834,NComp 10/10ct,CASE,NComp 10/10ct,NComp 10/10ct,,Product-level forecast total cases
6320919834,TDL NCOMP CARAMEL ESPRESSO 10/10 CT,NComp 10/10ct,CASE,NComp 10/10ct,NComp 10/10ct,,Product-level forecast total cases
6320923323,TDL NCOMP DISPLAY 32/10 CT,NComp 10/10ct,DRP,NComp 32/10ct,NComp 10/10ct,3.2,Display pack 32/10CT converted to regular case pack 10/10CT
TDNC-10/10,NCOMP 10/10CT,NComp 10/10ct,CASE,NComp 10/10ct,NComp 10/10ct,,Product-level forecast total cases
TDNC-32/10,NCOMP 32/10CT,NComp 10/10ct,DRP,NComp 32/10ct,NComp 10/10ct,3.2,Display pack 32/10CT converted to regular case pack 10/10CT
6320913663,TDL WHOLE BEAN BAG 6/2 LB,R&G Large Bag 6/2lb,CASE,R&G Large Bag 6/2lb,R&G Large Bag 6/2lb,,Product-level forecast total cases
TDRGLB-6/2,R&G LARGE BAG 6/2LB,R&G Large Bag 6/2lb,CASE,R&G Large Bag 6/2lb,R&G Large Bag 6/2lb,,Product-level forecast total cases
TDRGLB-6/652,R&G LARGE BAG 6/652GR,R&G Large Bag 6/652g,CASE,R&G Large Bag 6/652g,R&G Large Bag 6/652g,,Product-level forecast total cases
TDRGLB-8/2,R&G LARGE BAG 8/2LB,R&G Large Bag 8/2lb,CASE,R&G Large Bag 8/2lb,R&G Large Bag 8/2lb,,Product-level forecast total cases
6320908885,TDL ORIGINAL BLEND 252/3 LB,R&G Large Can 252/3lb,CASE,R&G Large Can 252/3lb,R&G Large Can 252/3lb,,Product-level forecast total cases
TDRGLC-252/3,R&G LARGE CAN 252/3LB,R&G Large Can 252/3lb,CASE,R&G Large Can 252/3lb,R&G Large Can 252/3lb,,Product-level forecast total cases
6320907227,TDL COFFEE FINE GRIND CAN 6/930 GR,R&G Large Can 6/930g,CASE,R&G Large Can 6/930g,R&G Large Can 6/930g,,Product-level forecast total cases
6320909122,TDL DARK ROAST CAN 6/875 GR,R&G Large Can 6/930g,CASE,R&G Large Can 6/930g,R&G Large Can 6/930g,,Product-level forecast total cases
6320909463,TDL COFFEE FINE GRIND HALF DRP 126/930GR,R&G Large Can 6/930g,DRP,R&G Large Can 126/930g,R&G Large Can 6/930g,21.0,Display pack 126/930G converted to regular case pack 6/930G
6320909464,TDL COFFEE FINE/DARK HALF DRP 126/930GR,R&G Large Can 6/930g,DRP,R&G Large Can 126/930g,R&G Large Can 6/930g,21.0,Display pack 126/930G converted to regular case pack 6/930G
6320923703,TDL COFFEE FINE GRIND CAN 6/875 GR,R&G Large Can 6/930g,CASE,R&G Large Can 6/930g,R&G Large Can 6/930g,,Product-level forecast total cases
6320923704,TDL DARK ROAST CAN 6/825 GR,R&G Large Can 6/930g,CASE,R&G Large Can 6/930g,R&G Large Can 6/930g,,Product-level forecast total cases
6320923706,TDL COFFEE FINE GRIND 1/2 DRP 126/875 GR,R&G Large Can 6/930g,DRP,R&G Large Can 126/930g,R&G Large Can 6/930g,21.0,Display pack 126/930G converted to regular case pack 6/930G
6320923707,TDL COFFEE FINE/DARK 1/2 DRP 126/1 EA,R&G Large Can 6/930g,DRP,R&G Large Can 126/930g,R&G Large Can 6/930g,21.0,Display pack 126/930G converted to regular case pack 6/930G
TDRGLC-126/930,R&G LARGE CAN 126/930GR,R&G Large Can 6/930g,DRP,R&G Large Can 126/930g,R&G Large Can 6/930g,21.0,Display pack 126/930G converted to regular case pack 6/930G
TDRGLC-6/930,R&G LARGE CAN 6/930GR,R&G Large Can 6/930g,CASE,R&G Large Can 6/930g,R&G Large Can 6/930g,,Product-level forecast total cases
6320920262,TDL SPECIAL EDITION  BAG 6/283 GR,R&G Small Bag 6/283g,CASE,R&G Small Bag 6/283g,R&G Small Bag 6/283g,,Product-level forecast total cases
TDRGSB-6/283,R&G SMALL BAG 6/283GR,R&G Small Bag 6/283g,CASE,R&G Small Bag 6/283g,R&G Small Bag 6/283g,,Product-level forecast total cases
6320908231,TDL ORIGINAL 6/300 GR,R&G Small Bag 6/300g,CASE,R&G Small Bag 6/300g,R&G Small Bag 6/300g,,Product-level forecast total cases
6320909608,*TDL ORGINAL/DARK DISPLAY 48/300 GR,R&G Small Bag 6/300g,DRP,R&G Small Bag 48/300g,R&G Small Bag 6/300g,8.0,Display pack 48/300G converted to regular case pack 6/300G
6320912138,TDL ORIGINAL COFFEE DISPLAY 48/300 GR,R&G Small Bag 6/300g,DRP,R&G Small Bag 48/300g,R&G Small Bag 6/300g,8.0,Display pack 48/300G converted to regular case pack 6/300G
6320912139,TDL ORG/DR COFFEE DISPLAY 48/300 GR,R&G Small Bag 6/300g,DRP,R&G Small Bag 48/300g,R&G Small Bag 6/300g,8.0,Display pack 48/300G converted to regular case pack 6/300G
6320912437,TDL ORG/DR GROUND PDQ 24/300 GR,R&G Small Bag 6/300g,DRP,R&G Small Bag 24/300g,R&G Small Bag 6/300g,4.0,Display pack 24/300G converted to regular case pack 6/300G
6320920675,TDL ORG/WINTER COFFEE DISPLAY 48/300 GR,R&G Small Bag 6/300g,DRP,R&G Small Bag 48/300g,R&G Small Bag 6/300g,8.0,Display pack 48/300G converted to regular case pack 6/300G
TDRGSB-220/300,R&G SMALL BAG 220/300GR,R&G Small Bag 6/300g,DRP,R&G Small Bag 220/300g,R&G Small Bag 6/300g,36.666667,Display pack 220/300G converted to regular case pack 6/300G
TDRGSB-48/300,R&G SMALL BAG 48/300GR,R&G Small Bag 6/300g,DRP,R&G Small Bag 48/300g,R&G Small Bag 6/300g,8.0,Display pack 48/300G converted to regular case pack 6/300G
TDRGSB-6/300,R&G SMALL BAG 6/300GR,R&G Small Bag 6/300g,CASE,R&G Small Bag 6/300g,R&G Small Bag 6/300g,,Product-level forecast total cases
6320911763,TDL COFFEE DECAF CAN 6/640 GR,R&G Small Can 6/640g,CASE,R&G Small Can 6/640g,R&G Small Can 6/640g,,Product-level forecast total cases
6320911764,TDL COFFEE COLOMBIAN CAN 6/640 GR,R&G Small Can 6/640g,CASE,R&G Small Can 6/640g,R&G Small Can 6/640g,,Product-level forecast total cases
6320911764,6320911764,R&G Small Can 6/640g,CASE,R&G Small Can 6/640g,R&G Small Can 6/640g,,Product-level forecast total cases
